timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610557546545,2416,Blazedemo - Get,200,OK,Spike Test 3-13,text,true,,3228,115,100,377,https://blazedemo.com/,2416,0,1318
1610557546549,2412,Blazedemo - Get,200,OK,Spike Test 3-85,text,true,,3228,115,100,377,https://blazedemo.com/,2412,0,997
1610557546546,2415,Blazedemo - Get,200,OK,Spike Test 3-10,text,true,,3228,115,100,377,https://blazedemo.com/,2415,0,803
1610557546546,2416,Blazedemo - Get,200,OK,Load Test 1-297,text,true,,3228,115,92,377,https://blazedemo.com/,2416,0,1538
1610557546549,2413,Blazedemo - Get,200,OK,Spike Test 3-64,text,true,,3228,115,100,378,https://blazedemo.com/,2412,0,1687
1610557546548,2454,Blazedemo - Get,200,OK,Soak Test 2-142,text,true,,3228,115,160,379,https://blazedemo.com/,2454,0,1554
1610557546546,2456,Blazedemo - Get,200,OK,Spike Test 3-15,text,true,,3228,115,100,379,https://blazedemo.com/,2456,0,1690
1610557546549,2497,Blazedemo - Get,200,OK,Spike Test 3-16,text,true,,3228,115,100,380,https://blazedemo.com/,2453,0,1606
1610557546550,2537,Blazedemo - Get,200,OK,Soak Test 2-108,text,true,,3228,115,160,382,https://blazedemo.com/,2537,0,1799
1610557546546,2541,Blazedemo - Get,200,OK,Soak Test 2-117,text,true,,3228,115,160,382,https://blazedemo.com/,2541,0,1582
1610557546546,2542,Blazedemo - Get,200,OK,Soak Test 2-140,text,true,,3228,115,160,382,https://blazedemo.com/,2542,0,1779
1610557546548,2540,Blazedemo - Get,200,OK,Spike Test 3-72,text,true,,3228,115,100,382,https://blazedemo.com/,2540,0,798
1610557546547,2579,Blazedemo - Get,200,OK,Load Test 1-294,text,true,,3228,115,97,383,https://blazedemo.com/,2559,0,1690
1610557547289,1875,Blazedemo - Get,200,OK,Stress Test 4-494,text,true,,3228,115,26,385,https://blazedemo.com/,1875,0,1062
1610557546547,2617,Blazedemo - Get,200,OK,Soak Test 2-18,text,true,,3228,115,160,385,https://blazedemo.com/,2616,0,1744
1610557546550,2614,Blazedemo - Get,200,OK,Soak Test 2-56,text,true,,3228,115,160,385,https://blazedemo.com/,2613,0,1795
